Karatsuba,SS,Optimized
0.0014420,0.0006910,0.0000400
0.0015590,0.0010090,0.0000900
0.0014620,0.0008990,0.0000560
0.0015180,0.0005830,0.0000350
0.0014680,0.0006380,0.0000370
0.0015300,0.0008100,0.0000640
0.0015250,0.0008280,0.0000590
0.0014380,0.0000020,0.0000030
0.0015180,0.0000090,0.0000020
0.0015280,0.0010010,0.0000790
0.0015370,0.0000100,0.0000030
0.0015250,0.0006880,0.0000480
0.0015860,0.0010120,0.0000910
0.0015500,0.0010020,0.0000870
0.0015520,0.0009950,0.0000850
0.0015310,0.0009620,0.0000760
0.0015390,0.0010000,0.0000790
0.0015510,0.0010010,0.0000880
0.0015530,0.0010040,0.0000860
0.0015570,0.0009980,0.0000860
0.0015240,0.0009670,0.0000710
0.0015650,0.0010250,0.0000900
0.0015840,0.0010340,0.0000910
0.0015890,0.0011320,0.0001070
0.0015090,0.0005580,0.0000400
0.0013280,0.0000030,0.0000020
0.0013180,0.0005070,0.0000190
0.0014360,0.0009680,0.0000830
0.0014790,0.0010280,0.0000860
0.0013930,0.0000040,0.0000020
0.0015190,0.0009080,0.0000710
0.0014340,0.0000020,0.0000030
0.0014880,0.0009280,0.0000820
0.0014350,0.0009200,0.0000790
0.0014010,0.0000100,0.0000020
0.0013530,0.0008610,0.0000550
0.0013210,0.0000020,0.0000020
0.0014040,0.0006820,0.0000470
0.0014590,0.0009840,0.0000820
0.0014110,0.0007710,0.0000480
0.0013990,0.0000030,0.0000020
0.0013300,0.0007280,0.0000470
0.0014560,0.0005310,0.0000120
0.0013550,0.0005820,0.0000270
0.0014070,0.0008980,0.0000650
0.0014050,0.0000020,0.0000020
0.0014400,0.0008840,0.0000660
0.0014780,0.0009430,0.0000400
0.0015550,0.0000100,0.0000030
0.0016370,0.0011360,0.0001000
0.0015940,0.0009970,0.0000800
0.0015630,0.0009770,0.0000840
0.0014710,0.0009100,0.0000620
0.0014560,0.0008510,0.0000710
0.0014100,0.0000080,0.0000030
0.0013180,0.0002530,0.0000140
0.0014020,0.0000080,0.0000030
0.0013460,0.0000050,0.0000020
0.0013260,0.0007090,0.0000320
0.0014300,0.0009250,0.0000800
0.0015690,0.0010410,0.0000840
0.0014380,0.0009620,0.0000790
0.0014120,0.0008680,0.0000640
0.0014310,0.0000020,0.0000040
0.0013130,0.0000020,0.0000030
0.0014040,0.0006390,0.0000510
0.0014070,0.0008910,0.0000570
0.0014090,0.0008500,0.0000660
0.0014260,0.0000080,0.0000020
0.0016440,0.0011390,0.0000940
0.0014390,0.0007450,0.0000450
0.0016010,0.0010450,0.0000900
0.0015410,0.0009860,0.0000730
0.0016260,0.0010840,0.0000960
0.0015550,0.0000110,0.0000030
0.0015630,0.0006970,0.0000530
0.0015620,0.0010100,0.0000690
0.0016090,0.0010500,0.0000950
0.0014530,0.0000050,0.0000020
0.0014630,0.0000030,0.0000020
0.0015680,0.0006460,0.0000450
0.0014680,0.0007690,0.0000390
0.0015650,0.0010200,0.0000810
0.0015510,0.0010030,0.0000880
0.0015250,0.0006320,0.0000460
0.0014240,0.0000050,0.0000020
0.0015730,0.0010130,0.0000890
0.0015520,0.0009980,0.0000870
0.0015950,0.0010300,0.0000900
0.0015110,0.0000090,0.0000040
0.0014490,0.0000050,0.0000030
0.0015660,0.0010160,0.0000930
0.0015480,0.0009980,0.0000980
0.0015680,0.0010050,0.0000860
0.0015170,0.0000030,0.0000030
0.0014460,0.0000040,0.0000030
0.0014300,0.0005680,0.0000180
0.0014340,0.0000030,0.0000020
0.0015410,0.0006520,0.0000440
0.0015320,0.0000090,0.0000040
0.0015760,0.0010260,0.0000850
0.0015200,0.0005630,0.0000070
0.0015150,0.0000030,0.0000020
0.0014760,0.0000030,0.0000020
0.0015760,0.0010150,0.0000900
0.0015760,0.0011650,0.0000930
0.0015550,0.0008740,0.0000650
0.0014380,0.0008680,0.0000480
0.0015360,0.0009490,0.0000650
0.0001590,0.0000020,0.0000010
0.0015460,0.0000100,0.0000030
0.0014940,0.0000060,0.0000030
0.0016690,0.0011710,0.0000830
0.0015040,0.0009300,0.0000800
0.0014220,0.0009200,0.0000700
0.0013600,0.0003550,0.0000020
0.0004370,0.0000020,0.0000020
0.0014140,0.0008940,0.0000730
0.0014600,0.0006360,0.0000390
0.0004390,0.0002220,0.0000320
0.0014070,0.0005430,0.0000220
0.0013480,0.0007020,0.0000450
0.0014190,0.0006150,0.0000460
0.0013310,0.0005510,0.0000250
0.0014120,0.0008490,0.0000610
0.0013950,0.0000020,0.0000020
0.0014020,0.0000040,0.0000020
0.0014050,0.0009060,0.0000690
0.0014090,0.0009090,0.0000590
0.0013260,0.0008610,0.0000410
0.0014680,0.0009240,0.0000810
0.0014260,0.0009110,0.0000680
0.0014490,0.0008650,0.0000630
0.0014440,0.0007670,0.0000540
0.0014180,0.0006140,0.0000440
0.0014330,0.0009210,0.0000790
0.0014280,0.0009190,0.0000780
0.0014610,0.0008190,0.0000600
0.0014040,0.0007610,0.0000510
0.0014120,0.0008450,0.0000610
0.0014100,0.0008590,0.0000640
0.0013190,0.0005010,0.0000220
0.0015240,0.0010290,0.0000910
0.0014640,0.0000100,0.0000020
0.0013650,0.0000050,0.0000030
0.0014290,0.0008000,0.0000510
0.0014100,0.0008060,0.0000550
0.0014360,0.0009230,0.0000810
0.0013210,0.0003410,0.0000020
0.0015510,0.0010090,0.0000900
0.0014550,0.0009220,0.0000530
0.0015700,0.0010000,0.0000870
0.0016590,0.0010250,0.0001080
0.0016540,0.0011250,0.0000920
0.0015520,0.0008320,0.0000660
0.0015710,0.0010200,0.0000930
0.0014400,0.0006860,0.0000420
0.0015890,0.0010620,0.0000950
0.0015030,0.0005580,0.0000270
0.0013890,0.0008350,0.0000490
0.0014420,0.0009290,0.0000810
0.0014360,0.0009190,0.0000790
0.0014030,0.0006650,0.0000420
0.0017100,0.0014830,0.0000820
0.0014710,0.0006370,0.0000370
0.0014080,0.0008660,0.0000580
0.0014400,0.0009240,0.0000800
0.0014370,0.0000030,0.0000040
0.0014900,0.0009200,0.0000770
0.0014280,0.0009170,0.0000730
