Karatsuba,SS,Optimized
0.0020780,0.0025630,0.0003150
0.0022450,0.0008970,0.0000560
0.0018290,0.0007490,0.0000450
0.0014530,0.0006610,0.0000450
0.0014050,0.0007150,0.0000450
0.0015520,0.0010250,0.0000950
0.0015380,0.0009780,0.0000770
0.0004950,0.0002940,0.0000030
0.0015070,0.0009340,0.0000850
0.0013330,0.0008850,0.0000370
0.0015410,0.0010880,0.0000720
0.0015610,0.0010770,0.0000730
0.0016250,0.0011110,0.0000940
0.0015560,0.0009790,0.0000840
0.0014540,0.0000040,0.0000030
0.0015630,0.0000090,0.0000030
0.0015370,0.0009880,0.0000810
0.0015450,0.0009770,0.0000700
0.0013530,0.0000050,0.0000030
0.0014070,0.0006150,0.0000370
0.0014340,0.0009230,0.0000790
0.0014020,0.0008220,0.0000670
0.0014020,0.0006390,0.0000440
0.0014010,0.0007560,0.0000470
0.0014100,0.0009550,0.0000770
0.0014970,0.0010050,0.0000780
0.0015380,0.0010170,0.0000800
0.0004730,0.0000020,0.0000030
0.0014370,0.0007900,0.0000410
0.0015470,0.0009280,0.0000830
0.0004410,0.0002470,0.0000150
0.0014300,0.0006400,0.0000420
0.0014320,0.0009220,0.0000940
0.0014460,0.0009600,0.0000780
0.0013200,0.0007210,0.0000360
0.0014330,0.0008670,0.0000600
0.0014380,0.0009210,0.0000800
0.0014200,0.0008720,0.0000690
0.0014610,0.0009960,0.0000850
0.0015630,0.0008110,0.0000610
0.0015320,0.0007350,0.0000530
0.0014660,0.0009250,0.0000800
0.0014750,0.0009030,0.0000690
0.0013560,0.0006280,0.0000330
0.0014330,0.0009830,0.0000800
0.0013810,0.0009060,0.0000610
0.0014060,0.0009000,0.0000870
0.0014100,0.0005390,0.0000190
0.0014610,0.0009490,0.0000800
0.0014690,0.0009850,0.0000760
0.0015410,0.0000030,0.0000040
0.0015660,0.0010200,0.0000890
0.0014380,0.0010110,0.0000820
0.0015550,0.0000030,0.0000020
0.0015630,0.0010210,0.0000920
0.0004770,0.0002340,0.0000030
0.0015860,0.0010510,0.0000940
0.0014850,0.0006930,0.0000400
0.0014460,0.0008800,0.0000670
0.0015240,0.0009490,0.0000560
0.0015650,0.0010340,0.0000720
0.0015640,0.0010370,0.0001040
0.0015850,0.0011090,0.0001030
0.0016320,0.0000110,0.0000030
0.0015020,0.0006620,0.0000470
0.0015910,0.0000100,0.0000030
0.0014550,0.0009410,0.0000730
0.0015200,0.0000050,0.0000040
0.0015010,0.0009430,0.0000750
0.0015630,0.0010050,0.0000800
0.0014390,0.0000030,0.0000020
0.0015830,0.0010280,0.0000900
0.0016010,0.0010120,0.0000750
0.0015940,0.0008870,0.0000850
0.0014880,0.0010100,0.0000660
0.0013730,0.0005390,0.0000230
0.0014080,0.0000090,0.0000020
0.0014060,0.0006830,0.0000540
0.0015230,0.0009640,0.0000800
0.0000010,0.0000010,0.0000020
0.0014340,0.0009210,0.0000800
0.0014620,0.0000050,0.0000020
0.0015950,0.0010150,0.0000920
0.0015380,0.0008940,0.0000690
0.0014820,0.0009040,0.0000720
0.0014370,0.0009460,0.0000800
0.0013140,0.0003020,0.0000030
0.0014430,0.0009220,0.0000800
0.0015780,0.0009810,0.0000820
0.0013240,0.0000050,0.0000030
0.0014400,0.0009320,0.0000650
0.0014080,0.0005830,0.0000420
0.0014240,0.0000030,0.0000030
0.0015630,0.0010340,0.0000870
0.0004740,0.0002590,0.0000160
0.0015650,0.0010220,0.0000900
0.0015230,0.0009400,0.0000670
0.0014620,0.0006480,0.0000410
0.0013190,0.0000020,0.0000030
0.0014110,0.0008990,0.0000590
0.0013920,0.0000030,0.0000030
0.0013250,0.0007410,0.0000330
0.0014080,0.0008970,0.0000590
0.0014370,0.0009540,0.0000860
0.0014720,0.0000040,0.0000040
0.0015170,0.0007650,0.0000480
0.0015600,0.0010270,0.0000890
0.0015050,0.0007710,0.0000580
0.0014080,0.0006600,0.0000510
0.0014300,0.0009010,0.0000600
0.0013380,0.0006590,0.0000320
0.0016280,0.0008250,0.0000560
0.0014620,0.0009170,0.0000730
0.0014020,0.0005830,0.0000370
0.0014580,0.0009200,0.0000800
0.0014240,0.0000020,0.0000040
0.0014520,0.0008700,0.0000510
0.0015420,0.0000030,0.0000030
0.0014380,0.0000040,0.0000030
0.0014620,0.0006860,0.0000320
0.0016660,0.0010500,0.0000770
0.0016020,0.0000040,0.0000030
0.0015960,0.0010270,0.0000710
0.0016110,0.0010620,0.0000960
0.0014130,0.0005460,0.0000200
0.0014300,0.0010350,0.0000660
0.0014000,0.0000060,0.0000030
0.0013250,0.0009460,0.0000560
0.0014550,0.0002730,0.0000160
0.0015550,0.0010320,0.0000910
0.0015030,0.0009300,0.0000800
0.0013470,0.0005850,0.0000310
0.0015020,0.0007380,0.0000530
0.0014730,0.0009670,0.0000690
0.0014750,0.0009140,0.0000630
0.0014080,0.0008980,0.0000590
0.0013540,0.0000040,0.0000010
0.0014390,0.0009270,0.0000810
0.0014020,0.0005620,0.0000400
0.0014860,0.0000100,0.0000020
0.0015800,0.0010300,0.0000850
0.0015560,0.0000090,0.0000030
0.0015620,0.0010780,0.0000950
0.0015050,0.0008210,0.0000660
0.0014280,0.0005380,0.0000250
0.0014030,0.0007630,0.0000520
0.0014130,0.0008490,0.0000580
0.0014910,0.0010340,0.0000850
0.0014600,0.0009210,0.0000780
